epoch,train_time,mean_loss,mean_rmse,val_time,val_num_tuples,val_loss,val_std,val_mse,val_mape,val_median_q_error_50,val_median_q_error_95,val_median_q_error_99,epoch_time,stop_early
0,167.8907255009999,1079.4579,6346.314325498106,19.02882864900039,1824,9.31143569946289,7857.839,8010.19,3.734157,4.079787254333496,25.02113876342773,84.95051223754866,186.9388062549997,False
1,167.20211351500075,7.652668,5774.234866160295,18.911270089000027,1824,6.505292892456055,7857.839,7963.86,2.2985156,3.1024160385131836,18.980614662170407,54.64902519226067,186.1317153279997,False
2,165.83401890200003,6.0335155,5722.0006640956,18.901817791999747,1824,5.183547496795654,7857.839,7896.1807,1.8424051,2.745062828063965,16.408903121948242,41.218583297729495,184.75364565600012,False
3,165.9081384380006,5.051689,5657.948370527748,19.06201453199992,1824,4.357698440551758,7857.839,7846.115,1.5741262,2.339167356491089,13.809528923034664,31.369753608703615,184.98839969900018,False
4,166.30971383899941,4.6144047,5597.4053626097475,18.860643285999686,1824,3.9341886043548584,7857.839,7794.208,1.4566002,2.229142189025879,11.744704818725584,25.43662338256834,185.18834957200033,False
5,166.28888897700017,4.2468433,5528.906780822837,18.936150184000326,1824,3.814739942550659,7857.839,7790.763,1.1718742,2.177644968032837,11.47424077987669,27.517780685424803,185.2396785790006,False
6,166.30889263900008,3.9523458,5449.730007703184,19.10948889700012,1824,3.33699631690979,7857.839,7587.491,1.2292386,2.0523853302001953,9.173561382293697,19.815627975463862,185.43429672799994,False
7,166.92862664699987,3.7403793,5394.30923777793,18.957811481000135,1824,3.183213949203491,7857.8394,7525.932,1.1211896,1.942652940750122,9.164965820312496,22.522626075744625,185.90152209000007,False
8,168.67366368700004,3.5245235,5318.181471034958,18.79929761600033,1824,3.305128335952759,7857.839,7648.985,0.88152957,1.9118081331253052,9.069752120971673,21.69046230316162,187.48522367399983,False
9,165.64890789500078,3.4657166,5270.102041834183,18.80532277400016,1824,2.971308469772339,7857.839,7402.102,1.1747391,1.9156184196472168,8.38989152908325,17.21899826049804,184.46663064400036,False
10,166.00655685400034,3.307596,5231.356796727676,19.005325561000063,1824,2.9219419956207275,7857.839,7352.6685,1.2351484,1.862436294555664,7.809308195114131,17.48501220703122,185.02455476199975,False
11,165.25450906599963,3.2251182,5170.787343767208,19.13997581900003,1824,2.758854627609253,7857.839,7268.5244,1.0177829,1.8346673250198364,7.25308384895324,15.687173080444333,184.40995943899998,False
